OSNR,BER
0.000000000000000000e+00,3.717856250000000085e-01
2.000000000000000000e+00,3.525971875000000200e-01
4.000000000000000000e+00,3.316831250000000231e-01
6.000000000000000000e+00,3.075318750000000101e-01
8.000000000000000000e+00,2.809353125000000340e-01
1.000000000000000000e+01,2.504771874999999759e-01
1.200000000000000000e+01,2.171368750000000070e-01
1.400000000000000000e+01,1.789350000000000107e-01
1.600000000000000000e+01,1.353521874999999985e-01
1.800000000000000000e+01,9.034968749999999771e-02
2.000000000000000000e+01,5.054531249999999476e-02
2.200000000000000000e+01,2.170156250000000037e-02
2.400000000000000000e+01,6.341562499999999977e-03
2.600000000000000000e+01,9.106250000000000846e-04
2.800000000000000000e+01,4.500000000000000283e-05
3.000000000000000000e+01,3.125000000000000256e-07
