OSNR,BER
0.000000000000000000e+00,1.585798125000000003e-01
2.000000000000000000e+00,1.039569374999999851e-01
4.000000000000000000e+00,5.653981250000000847e-02
6.000000000000000000e+00,2.303025000000000211e-02
8.000000000000000000e+00,5.984125000000001596e-03
1.000000000000000000e+01,7.759999999999999971e-04
1.200000000000000000e+01,3.475000000000000441e-05
1.400000000000000000e+01,1.875000000000000048e-07
1.600000000000000000e+01,0.000000000000000000e+00
1.800000000000000000e+01,0.000000000000000000e+00
2.000000000000000000e+01,0.000000000000000000e+00
2.200000000000000000e+01,0.000000000000000000e+00
2.400000000000000000e+01,0.000000000000000000e+00
2.600000000000000000e+01,0.000000000000000000e+00
2.800000000000000000e+01,0.000000000000000000e+00
3.000000000000000000e+01,0.000000000000000000e+00
