OSNR,BER
0.000000000000000000e+00,2.485410416666666567e-01
2.000000000000000000e+00,1.994828333333333314e-01
4.000000000000000000e+00,1.509578333333333466e-01
6.000000000000000000e+00,1.039576666666666566e-01
8.000000000000000000e+00,6.127308333333333218e-02
1.000000000000000000e+01,2.827429166666666285e-02
1.200000000000000000e+01,8.960541666666668736e-03
1.400000000000000000e+01,1.592666666666666493e-03
1.600000000000000000e+01,1.138333333333333401e-04
1.800000000000000000e+01,1.541666666666666800e-06
2.000000000000000000e+01,0.000000000000000000e+00
2.200000000000000000e+01,0.000000000000000000e+00
2.400000000000000000e+01,0.000000000000000000e+00
2.600000000000000000e+01,0.000000000000000000e+00
2.800000000000000000e+01,0.000000000000000000e+00
3.000000000000000000e+01,0.000000000000000000e+00
